orig,fm_sketch,hyperloglog,hyperloglog64
618,512,1242,828
619,512,1242,828
620,512,1242,828
621,512,1242,828
622,512,1242,828
623,512,1242,828
624,512,1242,828
625,512,1242,828
626,512,1242,828
627,512,1242,828
628,512,1242,828
629,512,1242,828
630,512,1242,828
631,512,1242,828
632,512,1242,828
633,512,1242,828
634,512,1242,828
635,512,1242,828
636,512,1242,828
637,512,1242,828
638,512,1242,828
639,512,1242,828
640,512,1242,828
641,512,1242,828
642,512,1242,828
643,512,1242,828
644,512,1242,828
645,512,1242,828
646,512,1242,828
647,512,1242,828
648,512,1242,828
649,512,1242,828
650,512,1242,828
651,512,1242,828
652,512,1242,828
653,512,1242,828
654,512,1242,828
655,512,1242,828
656,512,1242,828
657,512,1242,828
658,512,1242,828
659,512,1242,828
660,512,1242,828
661,512,1242,828
662,512,1242,828
663,512,1242,828
664,512,1242,828
665,512,1242,828
666,512,1242,828
667,512,1242,828
668,512,1242,828
669,512,1242,828
670,512,1242,828
671,512,1242,828
672,512,1242,828
673,512,1242,828
674,512,1242,828
675,512,1242,828
676,512,1242,828
677,512,1242,828
678,512,1242,828
679,512,1242,828
680,512,1242,828
681,512,1242,828
682,512,1242,828
683,512,1242,828
684,512,1242,828
685,512,1242,828
686,512,1242,828
687,512,1242,828
688,512,1242,828
689,512,1242,828
690,512,1242,828
691,512,1278,828
692,512,1278,828
693,512,1278,828
694,512,1400,828
695,512,1400,828
696,512,1400,828
697,512,1400,828
698,512,1400,828
699,512,1400,828
700,512,1400,828
701,512,1400,828
702,512,1400,828
703,512,1400,828
704,512,1400,828
705,512,1400,828
706,512,1400,828
707,512,1400,828
708,512,1400,828
709,512,1400,828
710,512,1400,828
711,512,1400,828
712,512,1400,828
713,512,1400,828
714,512,1400,828
715,512,1400,828
716,512,1400,828
717,512,1400,828
718,512,1400,828
719,512,1400,828
720,512,1400,828
721,512,1400,828
722,512,1400,828
723,512,1400,828
724,512,1400,828
725,512,1400,828
726,512,1400,828
727,512,1400,828
728,512,1400,828
729,512,1400,828
730,512,1400,828
731,512,1400,828
732,512,1400,953
733,512,1400,953
734,512,1400,953
735,512,1400,953
736,512,1400,953
737,512,1400,953
738,512,1400,953
739,512,1400,953
740,512,1400,953
741,512,1400,953
742,512,1400,953
743,512,1400,953
744,512,1400,953
745,512,1400,953
746,512,1400,953
747,512,1400,953
748,512,1400,953
749,512,1400,953
750,512,1400,953
751,512,1400,953
752,512,1400,953
753,512,1400,953
754,512,1400,953
755,512,1400,953
756,512,1400,953
757,512,1400,953
758,512,1400,953
759,512,1400,953
760,512,1400,953
761,512,1400,953
762,512,1400,953
763,512,1400,953
764,512,1400,953
765,512,1400,953
766,512,1400,953
767,512,1400,953
768,512,1400,953
769,512,1400,953
770,512,1400,953
771,512,1400,953
772,512,1400,953
773,512,1400,953
774,512,1400,953
775,512,1400,953
776,512,1400,953
777,512,1400,953
778,512,1400,953
779,512,1400,953
780,512,1400,1043
781,512,1400,1043
782,512,1400,1043
783,512,1400,1043
784,512,1400,1043
785,512,1400,1043
786,512,1400,1043
787,512,1400,1043
788,512,1400,1043
789,512,1400,1043
790,512,1400,1043
791,512,1400,1043
792,512,1400,1043
793,512,1400,1043
794,512,1400,1043
795,512,1400,1043
796,512,1400,1043
797,512,1400,1043
798,512,1400,1043
799,512,1400,1043
800,512,1400,1043
801,512,1400,1043
802,512,1400,1043
803,512,1400,1043
804,512,1400,1043
805,512,1400,1043
806,512,1400,1043
807,512,1400,1043
808,512,1400,1043
809,512,1400,1043
810,512,1400,1043
811,512,1400,1043
812,512,1400,1043
813,512,1400,1043
814,512,1400,1043
815,512,1400,1043
816,512,1400,1043
817,512,1400,1043
818,512,1400,1043
819,512,1400,1043
820,512,1400,1043
821,512,1400,1043
822,512,1400,1043
823,512,1400,1043
824,512,1400,1043
825,512,1400,1043
826,512,1400,1043
827,512,1400,1043
828,512,1400,1043
829,512,1400,1043
830,512,1400,1043
831,512,1400,1043
832,512,1400,1043
833,512,1400,1043
834,512,1400,1043
835,512,1400,1043
836,512,1400,1043
837,512,1400,1152
838,512,1400,1152
839,512,1400,1152
840,512,1400,1152
841,512,1400,1152
842,512,1400,1152
843,512,1400,1152
844,512,1400,1152
845,512,1400,1152
846,512,1400,1152
847,512,1400,1152
848,512,1400,1152
849,512,1400,1152
850,512,1400,1152
851,512,1400,1152
852,512,1400,1152
853,512,1400,1152
854,512,1400,1152
855,512,1400,1152
856,512,1400,1152
857,512,1400,1152
858,512,1400,1152
859,512,1400,1152
860,512,1400,1152
861,512,1400,1152
862,512,1400,1152
863,512,1400,1152
864,512,1400,1152
865,512,1400,1152
866,512,1400,1152
867,512,1400,1152
868,512,1400,1152
869,512,1400,1152
870,512,1400,1152
871,512,1400,1152
872,512,1400,1152
873,512,1400,1152
874,512,1400,1216
875,512,1400,1216
876,512,1400,1216
877,512,1400,1216
878,512,1400,1216
879,512,1400,1216
880,512,1400,1216
881,512,1400,1216
882,512,1400,1216
883,512,1400,1216
884,512,1400,1216
885,512,1400,1216
886,512,1837,1216
887,512,1837,1216
888,512,1837,1216
889,512,1837,1216
890,512,1837,1216
891,512,1837,1216
892,512,1837,1216
893,512,1837,1216
894,512,1837,1216
895,512,1837,1216
896,512,1837,1216
897,512,1837,1216
898,512,1837,1216
899,512,1837,1216
900,512,1837,1216
901,512,1837,1216
902,512,1837,1216
903,512,1837,1216
904,512,1837,1216
905,512,1837,1216
906,512,1837,1216
907,512,1837,1216
908,512,1837,1216
909,512,1837,1216
910,512,1837,1216
911,512,1837,1216
912,512,1837,1216
913,512,1837,1216
914,512,1837,1216
915,512,1837,1216
916,512,1837,1216
917,512,1837,1216
918,512,1837,1216
919,512,1837,1216
920,512,1837,1216
921,512,1837,1216
922,512,1837,1216
923,512,1837,1216
924,512,1837,1216
925,512,1837,1216
926,512,1837,1216
927,512,1837,1216
928,512,1837,1216
929,512,1837,1216
930,512,1837,1216
931,512,1837,1216
932,512,1837,1216
933,512,1837,1216
934,512,1837,1216
935,512,1837,1216
936,512,1837,1216
937,512,1837,1216
938,512,1837,1216
939,512,1837,1216
940,512,1837,1216
941,512,1837,1216
942,512,1837,1216
943,512,1837,1216
944,512,1837,1216
945,512,1837,1216
946,512,1837,1216
947,512,1837,1216
948,512,1837,1216
949,512,1837,1216
950,512,1837,1216
951,512,1837,1216
952,512,1837,1216
953,512,1837,1216
954,512,1837,1216
955,512,1837,1216
956,512,1837,1216
957,512,1837,1216
958,512,1837,1216
959,512,1837,1216
960,512,1837,1216
961,512,1837,1216
962,512,1837,1216
963,512,1837,1216
964,512,1837,1216
965,512,1837,1216
966,512,1837,1268
967,512,1837,1268
968,512,1837,1268
969,512,1837,1268
970,512,1837,1268
971,512,1837,1268
972,512,1837,1268
973,512,1837,1268
974,512,1837,1268
975,512,1837,1268
976,512,1837,1268
977,512,1837,1268
978,512,1837,1268
979,512,1837,1268
